WKT,cui,cueanexo,cue,anexo,sector,dom_edific,dom_establ,nombre_est,nombre_abr,telefono,email,codpost,web_megcba,nivmod,nivelmodal,tipest_abr,tipest,depfun,depfun_otr,de,comuna,barrio,area_progr,estado,point_x,point_y,Nivel
"MULTIPOINT ((-58.4280632122124 -34.6607725101718))","200852","20153600","201536","0",1,Carlos Berg 3460,Carlos Berg 3460,Esc. Primaria Común N° 09 Dr. Jose Benjamin Zubiaur,EPjs 09,4918-8855,dep_epc9_de19@bue.edu.ar,C1437,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JS,Escuela de Jornada Simple,Dirección de Educación Primaria,"1",19,8,VILLA SOLDATI,05 - HOSP PENNA,"1",103175.055789,96554.2171258,Primario Común
"MULTIPOINT ((-58.4328766561528 -34.6481414323996))","200871","20227000","202270","0",1,Agustín de Vedia 2519,Cnel. Martiniano Chilavert 1935,Escuela Infantil N° 06/19°,EI 06/19,4919-9258,dei_ei6_de19@bue.edu.ar,C1437,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,EI,Escuela Infantil,Dirección de Educación Inicial,"1",19,7,FLORES,06 - HOSP PIÑERO,"1",102734.23579,97955.6093356,Inicial Común
"MULTIPOINT ((-58.4087768288971 -34.5856509333042))","200014","20064600","200646","0",1,Juncal 3131,Juncal 3131,Esc. Primaria Común N° 16 Wenceslao Posse,EPjs 16,4804-2411,dep_epc16_de1@bue.edu.ar,C1425,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JS,Escuela de Jornada Simple,Dirección de Educación Primaria,"1",1,14,PALERMO,04 - HOSP FERNANDEZ,"1",104947.440184,104887.143633,Primario Común
"MULTIPOINT ((-58.4328766561528 -34.6481414323996))","200871","20183300","201833","0",1,Agustín de Vedia 2519,Agustín de Vedia 2519,Esc. de Educacion Media N° 03/19°,EEM 03/19,4919-0677/4918-4801,dem_eem3_de19@bue.edu.ar,C1437,http://www.buenosaires.gob.ar/educacion/estudiantes/secundario/contacto?menu_id=18231,SecCom,Nivel Secundario Común,EEM,Escuela de Educación Media,Dirección de Educación Media,"1",19,7,FLORES,06 - HOSP PIÑERO,"1",102734.23579,97955.6093356,Secundario Común
"MULTIPOINT ((-58.4614370398677 -34.6283072641512))","200585","20041900","200419","0",1,Caracas 10,Caracas 10,Esc. Primaria Común N° 02 Florencio Varela,EPjc 02,4611-7452,dep_epc2_de12@bue.edu.ar,C1406,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,"1",12,7,FLORES,06 - HOSP PIÑERO,"1",100115.816997,100156.345875,Primario Común
"MULTIPOINT ((-58.4489651471371 -34.6623263619207))","200863","20178300","201783","0",1,Martínez Castro 3061,Martínez Castro 3067,Esc. de Educacion Media N° 02/19° Arturo Jauretche,EEM 02/19,4919-9094,dem_eem2_de19@bue.edu.ar,C1437,http://www.buenosaires.gob.ar/educacion/estudiantes/secundario/contacto?menu_id=18231,SecCom,Nivel Secundario Común,EEM,Escuela de Educación Media,Dirección de Educación Media,"1",19,8,VILLA SOLDATI,06 - HOSP PIÑERO,"1",101259.011301,96382.2976016,Secundario Común
"MULTIPOINT ((-58.4677563458594 -34.5568436746879))","201980","20291500","202915","0",2,Quesada 2876,Quesada 2876,Escuela Infantil La Casita de Any,EI La Casita de Any,4544-1881,lacasitadeany@gmail.com,C1429,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,IniCom,Nivel Inicial Común,IEIEO,Instituto Educativo Incorporado a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,"1",10,13,NUÑEZ,07 - HOSP PIROVANO,"1",99535.9211648,108084.193944,Inicial Común
"MULTIPOINT ((-58.5032490822123 -34.6156098825216))","200826","20172800","201728","0",1,Arregui 4430,Arregui 4430,Escuela Infantil N° 05/18°,EI 05/18,4566-9998,dei_ei5_de18@bue.edu.ar,C1407,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,EI,Escuela Infantil,Dirección de Educación Inicial,"1",18,10,MONTE CASTRO,11 - HOSP VELEZ SARSFIELD,"1",96280.9653652,101564.197987,Inicial Común
"MULTIPOINT ((-58.4606253783179 -34.571695292894))","201489","20143100","201431","0",2,Carbajal 3250,Carbajal 3250,Inst. Sta. Catalina de Belgrano,I Sta Catalina de Belgrano,4552-4353/8572,secretariab@scms.edu.ar,C1426,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,IniCom - PriCom - SecCom - SNUCom,"Nivel Inicial, Primario, Secundario y Superior No Universitario Común",IEIEO,Instituto Educativo Incorporado a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,"1",10,13,BELGRANO,07 - HOSP PIROVANO,"1",100190.377836,106436.637537,Inicial Común - Primario Común - Secundario Común - Superior No Universitario Común
"MULTIPOINT ((-58.4649984411165 -34.5726379537875))","201536","20053400","200534","0",2,Virrey del Pino 3511,Virrey del Pino 3511,Inst. Mekhitarista,I Mekhitarista,4552-3690,administracion@colegiomekhitarista.edu.ar,C1426,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,IniCom - PriCom - SecCom,"Nivel Inicial, Primario y Secundario Común",IEIEO,Instituto Educativo Incorporado a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,"1",10,13,BELGRANO,07 - HOSP PIROVANO,"1",99789.0855284,106332.062755,Inicial Común - Primario Común - Secundario Común
